doc_id,title,source_site,url,license,license_note,domain,format,date_checked
81848130,التاريخ يفسر التضخم والتقلص,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24
28471509,مطالعات علمية,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24
15393758,جيوبنا وجيوب الأجانب,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24
90820505,تاريخ العقاقير والعلاج,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24
51493058,دراسات سيكلوجية,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24
49613641,شاعر أندلسي وجائزة عالمية,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24
47908694,المذكرات الجغرافية في الأقطار السورية,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24
31951509,الشرق والغرب,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24
28158282,مذكرات لينين : عن الحروب الأوروبية ماضيها وحاضرها,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24
26931350,عمرو بن العاص,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24
95147413,السَّعيدُ حَسَن,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24
72597415,الرياح وأشجار الصفصاف,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24
17468173,القَصرُ الهِندِي,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24
17271461,آخر رجال الموهيكان,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24
27060507,شبـكة الـموت,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24
31484293,نقض كتاب «في الشعر الجاهلي»,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24
35152952,مستعذبو الألم,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24
60373848,نزوات ماريان: وليالي أكتوبر ومايو وأغسطس,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24
69316182,فلسفة الوجود,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24
14705258,السيد زخاريوس,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24
