doc_id,title,author,source_site,url,license,license_note,domain,format,date_checked,region,corpus_phase
81848130,التاريخ يفسر التضخم والتقلص,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24,,msa_pilot
28471509,مطالعات علمية,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24,,msa_pilot
15393758,جيوبنا وجيوب الأجانب,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24,,msa_pilot
90820505,تاريخ العقاقير والعلاج,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24,,msa_pilot
51493058,دراسات سيكلوجية,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",science_tech,text (parquet),2026-08-24,,msa_pilot
49613641,شاعر أندلسي وجائزة عالمية,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24,,msa_pilot
47908694,المذكرات الجغرافية في الأقطار السورية,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24,,msa_pilot
31951509,الشرق والغرب,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24,,msa_pilot
28158282,مذكرات لينين : عن الحروب الأوروبية ماضيها وحاضرها,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24,,msa_pilot
26931350,عمرو بن العاص,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",administrative,text (parquet),2026-08-24,,msa_pilot
95147413,السَّعيدُ حَسَن,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24,,msa_pilot
72597415,الرياح وأشجار الصفصاف,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24,,msa_pilot
17468173,القَصرُ الهِندِي,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24,,msa_pilot
17271461,آخر رجال الموهيكان,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24,,msa_pilot
27060507,شبـكة الـموت,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",educational,text (parquet),2026-08-24,,msa_pilot
31484293,نقض كتاب «في الشعر الجاهلي»,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24,,msa_pilot
35152952,مستعذبو الألم,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24,,msa_pilot
60373848,نزوات ماريان: وليالي أكتوبر ومايو وأغسطس,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24,,msa_pilot
69316182,فلسفة الوجود,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24,,msa_pilot
14705258,السيد زخاريوس,,Hugging Face (mohres/The_Arabic_E-Book_Corpus),https://huggingface.co/datasets/mohres/The_Arabic_E-Book_Corpus,CC-BY-4.0,"Hallberg, A. (2024). The Arabic E-Book Corpus. University of Gothenburg.",general_knowledge,text (parquet),2026-08-24,,msa_pilot
dialect_dict_najdi,معجم اللهجات المحكية في المملكة العربية السعودية,سليمان بن ناصر الدرسوني,"provided directly by the team, not from a public repo",,unverified_pending_review,Print ed. 1434H. Extracted from supplied PDF pages 19-324 (pdftotext -layout). Rights not yet cleared - do not redistribute until reviewed.,,"pdf, re-extracted",2026-08-27,najdi,saudi_dialect
dialect_dict_northern,معجم اللهجات المحكية في المملكة العربية السعودية,سليمان بن ناصر الدرسوني,"provided directly by the team, not from a public repo",,unverified_pending_review,Print ed. 1434H. Extracted from supplied PDF pages 325-450 (pdftotext -layout). Rights not yet cleared - do not redistribute until reviewed.,,"pdf, re-extracted",2026-08-27,northern,saudi_dialect
dialect_dict_western,معجم اللهجات المحكية في المملكة العربية السعودية,سليمان بن ناصر الدرسوني,"provided directly by the team, not from a public repo",,unverified_pending_review,Print ed. 1434H. Extracted from supplied PDF pages 451-515 (pdftotext -layout). Rights not yet cleared - do not redistribute until reviewed.,,"pdf, re-extracted",2026-08-27,western,saudi_dialect
dialect_dict_southern,معجم اللهجات المحكية في المملكة العربية السعودية,سليمان بن ناصر الدرسوني,"provided directly by the team, not from a public repo",,unverified_pending_review,Print ed. 1434H. Extracted from supplied PDF pages 516-792 (pdftotext -layout). Rights not yet cleared - do not redistribute until reviewed.,,"pdf, re-extracted",2026-08-27,southern,saudi_dialect
dialect_dict_eastern,معجم اللهجات المحكية في المملكة العربية السعودية,سليمان بن ناصر الدرسوني,"provided directly by the team, not from a public repo",,unverified_pending_review,Print ed. 1434H. Extracted from supplied PDF pages 793-874 (pdftotext -layout). Rights not yet cleared - do not redistribute until reviewed.,,"pdf, re-extracted",2026-08-27,eastern,saudi_dialect
